"Story","Title","Result","Date","Stability","Duration (s)"
"To create a new booking in restful-booker","To create new booking using cucumber Data Table","SUCCESS","2022-07-19T22:13:05.8301702+02:00[Europe/Belgrade]","0.0","17.3"
"To create a new booking in restful-booker","To create new booking using JSON data","SUCCESS","2022-07-19T22:13:23.1483055+02:00[Europe/Belgrade]","0.0","1.61"
"To delete a booking in restful-booker","To perform a delete operation on restful-booker","SUCCESS","2022-07-19T22:13:05.7988969+02:00[Europe/Belgrade]","0.0","9.28"
"To update a booking in restful-booker","To update a booking using cucumber Data Table","SUCCESS","2022-07-19T22:13:05.8616839+02:00[Europe/Belgrade]","0.0","9.22"
"View Booking details","To confirm whether the API is up and running","SUCCESS","2022-07-19T22:13:05.8450271+02:00[Europe/Belgrade]","0.0","4.69"
"View Booking details","View all the booking IDs","SUCCESS","2022-07-19T22:13:10.5719966+02:00[Europe/Belgrade]","0.0","2.78"
"View Booking details","To view booking details","SUCCESS","2022-07-19T22:13:13.3915422+02:00[Europe/Belgrade]","0.0","3.74"
"View Booking details","To view all the booking IDs by booking dates","SUCCESS","2022-07-19T22:13:17.1340068+02:00[Europe/Belgrade]","0.0","2.86"
"View Booking details","To view all the booking IDs by booking names","SUCCESS","2022-07-19T22:13:20.008577+02:00[Europe/Belgrade]","0.0","4.63"
"Login saucelabs page","To verify navigation to saucelabs page","SUCCESS","2022-07-19T22:13:05.6347524+02:00[Europe/Belgrade]","0.0","6.52"
"Login saucelabs page","Log in to saucelabs page","SUCCESS","2022-07-19T22:13:13.3707906+02:00[Europe/Belgrade]","0.0","9.11"
"Main Products page of sauce labs","Add a product in saucelabs page","SUCCESS","2022-07-19T22:13:05.8301702+02:00[Europe/Belgrade]","0.0","15.64"
"Main Products page of sauce labs","Open product details in saucelabs page","SUCCESS","2022-07-19T22:13:23.1323231+02:00[Europe/Belgrade]","0.0","7.67"
"Main Products page of sauce labs","Navigate back to main products page in saucelabs","SUCCESS","2022-07-19T22:13:31.4284727+02:00[Europe/Belgrade]","0.0","9.02"
